first_name,last_name,gender,past_3_years_bike_related_purchases,dob,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,rank,Value
Kelcie,Kingaby,Female,54,3/24/2000,20.43,Systems Administrator II,IT,Mass Customer,N,Yes,6,0 Summit Center,4019,QLD,Australia,4,115,0.521
Tobiah,Heinsius,Male,66,1/25/2000,20.59,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,184,1.116
Nalani,Hallad,Female,15,11/30/1999,20.74,Environmental Specialist,Health,Affluent Customer,N,Yes,9,1 Oriole Crossing,3184,VIC,Australia,9,218,0.675
Sigismund,Sedger,Male,9,11/29/1999,20.74,Accountant II,Manufacturing,Affluent Customer,N,No,7,8069 Sunbrook Way,2155,NSW,Australia,10,278,0.884
Cristen,Maroney,Female,22,11/21/1999,20.77,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,62,1.363
Alta,Pithcock,Female,64,11/18/1999,20.77,GIS Technical Architect,Financial Services,Mass Customer,N,No,2,57568 Northview Junction,2141,NSW,Australia,7,223,0.68
Clotilda,Southers,Female,62,11/8/1999,20.8,Computer Systems Analyst II,Financial Services,Mass Customer,N,Yes,15,42 Donald Hill,2323,NSW,Australia,4,247,0.978
Ebony,Conrad,Female,8,10/24/1999,20.84,Environmental Tech,Financial Services,Mass Customer,N,Yes,16,990 Hoffman Avenue,3029,VIC,Australia,7,243,0.999
Jehu,Prestedge,Male,91,10/20/1999,20.85,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,87,1.3
Kevina,Ferandez,Female,73,9/21/1999,20.93,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,67,1.35
Wheeler,Winward,Male,48,8/30/1999,20.99,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,12,1.625
Maddalena,Angood,Female,79,7/28/1999,21.08,,Manufacturing,Affluent Customer,N,No,12,1 Bluejay Court,2320,NSW,Australia,4,283,0.839375
Latrena,Yetts,Female,11,6/18/1999,21.19,Civil Engineer,Manufacturing,High Net Worth,N,Yes,15,53877 Dakota Crossing,2871,NSW,Australia,3,128,0.521
Gunner,Petti,Male,62,6/8/1999,21.22,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,65,1.355
Jammal,Devenny,Male,57,5/14/1999,21.29,Marketing Manager,Retail,High Net Worth,N,No,12,18 Sage Plaza,3152,VIC,Australia,9,285,0.85
Cord,Dunsmore,Male,12,4/21/1999,21.35,Internal Auditor,Manufacturing,Mass Customer,N,Yes,13,596 Boyd Park,4301,QLD,Australia,3,286,0.816
Taylor,Steuhlmeyer,Male,62,3/22/1999,21.43,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,51,1.395
Frieda,Tavinor,Female,43,3/4/1999,21.48,,n/a,Affluent Customer,N,No,10,7 Mallory Lane,3064,VIC,Australia,6,64,0.43
Geoff,Gwillym,Male,89,2/22/1999,21.51,Clinical Specialist,Health,Affluent Customer,N,No,8,1 Eliot Plaza,2323,NSW,Australia,4,205,0.638
Marysa,Rouchy,Female,8,2/15/1999,21.53,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,79,1.325
Dallas,Lavalde,Female,18,12/19/1998,21.69,Product Engineer,n/a,Mass Customer,N,No,12,16898 Donald Plaza,2323,NSW,Australia,4,289,0.82875
Alano,Satchel,Male,2,11/26/1998,21.75,Recruiting Manager,n/a,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,175,1.140625
Sada,Dowyer,Female,47,11/22/1998,21.76,Human Resources Manager,n/a,High Net Worth,N,Yes,3,4 Meadow Ridge Place,2090,NSW,Australia,10,276,0.9
Afton,Andrassy,Female,78,10/14/1998,21.87,Web Designer II,Retail,Mass Customer,N,No,7,220 Cody Alley,3075,VIC,Australia,8,82,0.446
Dorian,Emery,Female,94,8/24/1998,22.01,Professor,Manufacturing,Mass Customer,N,Yes,9,67 Beilfuss Plaza,2168,NSW,Australia,8,276,0.763
Errick,Burgin,Male,87,8/19/1998,22.02,Professor,Entertainment,Mass Customer,N,No,11,417 Killdeer Alley,2650,NSW,Australia,2,224,0.656
Alick,Baise,Male,62,8/16/1998,22.03,Pharmacist,Health,Mass Customer,N,Yes,1,096 Gateway Road,2747,NSW,Australia,8,168,0.563
Ellwood,Budden,Male,82,6/3/1998,22.23,,Health,Mass Customer,N,Yes,11,79907 Randy Center,2192,NSW,Australia,10,73,0.43
Kirsteni,Gritskov,Female,66,5/12/1998,22.3,,n/a,Mass Customer,N,No,4,743 Stuart Terrace,2560,NSW,Australia,7,287,0.796875
Terrence,Dalligan,Male,60,2/19/1998,22.52,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,2,240 Main Hill,3200,VIC,Australia,6,291,0.825
Otis,Ottey,Male,26,2/5/1998,22.56,Quality Engineer,n/a,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,22,1.5
Felice,Dechelette,Male,75,2/5/1998,22.56,Librarian,Entertainment,High Net Worth,N,No,3,4 Kingsford Trail,4051,QLD,Australia,4,117,0.48
Ewell,Paulusch,Male,31,1/15/1998,22.62,Engineer I,Manufacturing,Mass Customer,N,Yes,8,8194 Lien Street,4032,QLD,Australia,7,272,0.75
Salomon,Perkins,Male,76,1/12/1998,22.62,Engineer IV,Financial Services,Affluent Customer,N,Yes,1,45 Banding Hill,2009,NSW,Australia,10,276,0.916
Allsun,Biner,Female,67,12/26/1997,22.67,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,10,9 Walton Way,2641,NSW,Australia,2,258,0.978
Claude,Bowstead,Female,37,11/29/1997,22.74,Accounting Assistant III,Manufacturing,Mass Customer,N,No,7,5263 Stone Corner Crossing,2217,NSW,Australia,12,293,0.825
Whittaker,,Male,64,7/29/1966,,Media Manager III,n/a,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,57,1.375
Normy,Goodinge,U,5,,,Associate Professor,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,57,1.375
Frederik,Milan,Male,45,11/13/1997,22.79,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,106,1.275
Anthony,Lindstrom,Male,86,11/1/1997,22.82,Geologist IV,Financial Services,Affluent Customer,N,Yes,10,427 Oak Avenue,2205,NSW,Australia,10,297,0.863
Lanny,Currall,Male,37,10/23/1997,22.85,Developer IV,n/a,High Net Worth,N,Yes,9,3 Redwing Center,2209,NSW,Australia,10,244,0.669375
Lolly,Prewer,Female,44,10/23/1997,22.85,Geologist I,Health,Mass Customer,N,No,15,694 Coolidge Center,2620,NSW,Australia,7,75,0.4
Nil,Shirer,Male,64,9/27/1997,22.92,Librarian,Entertainment,Mass Customer,N,Yes,7,4793 Mcbride Pass,3013,VIC,Australia,8,253,1
Lea,Ilyinski,Female,75,9/25/1997,22.92,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,208,1.073
Rosalinde,Cubuzzi,Female,50,9/4/1997,22.98,Business Systems Development Analyst,n/a,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,188,1.12890625
Frederich,Glantz,Male,37,8/27/1997,23,Nuclear Power Engineer,Manufacturing,High Net Worth,N,Yes,10,9 Glacier Hill Circle,2762,NSW,Australia,8,283,0.903
Agace,Hedge,Female,25,7/23/1997,23.1,Media Manager II,n/a,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,199,1.1
Anson,Dearnaly,Male,68,6/29/1997,23.16,Data Coordiator,Health,Affluent Customer,N,Yes,11,6060 Veith Crossing,2103,NSW,Australia,11,296,0.774
Alexander,Broadbent,Male,57,5/28/1997,23.25,Desktop Support Technician,n/a,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,111,1.2625
Kearney,Cuddehy,Male,88,5/18/1997,23.28,Marketing Assistant,Retail,Mass Customer,N,No,12,98 Shoshone Road,4207,QLD,Australia,6,283,0.74
Leticia,Hovenden,Female,98,4/3/1997,23.4,Mechanical Systems Engineer,Retail,Mass Customer,N,Yes,1,54782 Lake View Parkway,3178,VIC,Australia,9,277,0.719
Killie,Densie,Male,87,3/28/1997,23.42,Environmental Tech,IT,Mass Customer,N,Yes,11,62 Dryden Junction,2042,NSW,Australia,10,250,0.664
Rodney,Trethewey,Male,16,3/17/1997,23.45,Software Consultant,Financial Services,Affluent Customer,N,No,15,737 Service Lane,3030,VIC,Australia,8,288,0.901
Tabbie,Curner,Male,12,3/13/1997,23.46,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,188,1.137
Meridith,Urwin,Female,62,3/7/1997,23.48,Registered Nurse,Health,High Net Worth,N,Yes,10,535 Graedel Circle,2444,NSW,Australia,7,189,0.563
Judi,Cazereau,Female,22,3/3/1997,23.49,GIS Technical Architect,n/a,Affluent Customer,N,Yes,13,22 Farmco Avenue,3851,VIC,Australia,3,172,0.53125
Anet,Roseman,Female,84,11/24/1996,23.76,Programmer Analyst III,Financial Services,Mass Customer,N,No,9,31 Melody Circle,3814,VIC,Australia,4,292,0.9
Lizbeth,Garvan,Female,36,9/6/1996,23.97,Structural Analysis Engineer,Health,Mass Customer,N,No,4,5 Schurz Street,2141,NSW,Australia,9,273,0.701
Sherilyn,Canero,Female,11,8/3/1996,24.07,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.355
Rosmunda,Duxbarry,Female,69,7/20/1996,24.11,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,64,1.363
Cletis,Longley,Male,84,7/1/1996,24.16,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,224,1.06
Myrtie,Ostrich,Female,70,6/18/1996,24.19,VP Quality Control,Property,Affluent Customer,N,Yes,9,320 Acker Drive,2251,NSW,Australia,7,275,0.701
Maurizio,Comi,Male,74,5/30/1996,24.25,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,172,1.155
Wendye,Kleinplatz,Female,48,5/28/1996,24.25,Executive Secretary,Manufacturing,Affluent Customer,N,No,14,01 Reindahl Circle,4132,QLD,Australia,3,291,0.731
Rochette,Haddacks,Female,44,5/10/1996,24.3,Tax Accountant,Retail,Affluent Customer,N,Yes,13,822 Di Loreto Junction,3020,VIC,Australia,8,312,0.782
Kahaleel,,Male,5,11/1/1942,,GIS Technical Architect,n/a,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31484375
Cal,Van den Velde,Male,22,3/18/1996,24.45,Senior Sales Associate,Financial Services,Affluent Customer,N,Yes,6,77916 Moland Park,3174,VIC,Australia,6,250,0.64
Corinna,Beretta,Female,24,2/29/1996,24.5,Programmer III,Health,High Net Worth,N,No,12,72 Mccormick Circle,3023,VIC,Australia,7,286,0.93
Barnebas,Apfel,Male,57,2/19/1996,24.52,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6,217,1.063
Nilson,Wiggam,Male,48,2/15/1996,24.53,Paralegal,Financial Services,Mass Customer,N,No,9,8845 Spaight Way,3049,VIC,Australia,6,170,0.502
Claudette,Renackowna,Female,55,2/11/1996,24.54,Administrative Officer,Manufacturing,Mass Customer,N,No,2,0800 Dahle Alley,2148,NSW,Australia,8,309,0.871
Almira,Mangion,Female,4,1/24/1996,24.59,VP Product Management,Financial Services,Affluent Customer,N,Yes,2,179 Anzinger Center,2230,NSW,Australia,12,284,0.95
Chaim,Kingdon,Male,63,1/21/1996,24.6,Compensation Analyst,Financial Services,Affluent Customer,N,Yes,15,42590 Bellgrove Court,2097,NSW,Australia,9,314,0.775
Flin,Yoskowitz,Male,9,12/17/1995,24.7,Registered Nurse,Health,Mass Customer,N,Yes,11,9940 Manley Drive,2574,NSW,Australia,7,318,0.788
Tanner,Terlinden,Male,84,12/9/1995,24.72,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,14,2637 Monument Trail,3106,VIC,Australia,11,288,0.925
Thorvald,Duckerin,Male,58,10/20/1995,24.86,Electrical Engineer,Manufacturing,Affluent Customer,N,Yes,1,4 Pine View Junction,3021,VIC,Australia,8,190,0.542
Rosabelle,Godsmark,Female,60,10/19/1995,24.86,Executive Secretary,n/a,Mass Customer,N,Yes,3,4871 Caliangt Hill,4102,QLD,Australia,8,208,0.563125
Herbert,Henryson,Male,21,10/10/1995,24.88,Marketing Manager,n/a,Mass Customer,N,No,4,05123 Bobwhite Plaza,2528,NSW,Australia,9,222,0.584375
Jacqui,Devey,Female,79,10/1/1995,24.91,Analyst Programmer,Financial Services,High Net Worth,N,Yes,13,656 Kennedy Crossing,2261,NSW,Australia,8,319,0.813
Meriel,Tapp,Female,0,8/13/1995,25.04,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,113,1.275
Benedikta,Naptin,Female,59,8/13/1995,25.04,Operator,Retail,Mass Customer,N,Yes,15,345 Fieldstone Park,2121,NSW,Australia,11,139,0.446
Amil,Ennor,Female,23,8/4/1995,25.07,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,148,1.188
Wolf,Craft,Male,93,7/19/1995,25.11,Database Administrator III,Retail,Affluent Customer,N,Yes,5,7513 Swallow Drive,2148,NSW,Australia,9,304,0.73
Judie,Pirkis,Female,2,7/18/1995,25.11,Recruiter,n/a,Affluent Customer,N,Yes,4,6 Loftsgordon Pass,2111,NSW,Australia,11,325,0.7875
Palmer,Heaven,Male,82,5/18/1995,25.28,Staff Scientist,Financial Services,Affluent Customer,N,Yes,9,5 Hoard Parkway,3754,VIC,Australia,6,288,0.95
Sumner,Carrivick,Male,53,4/9/1995,25.39,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,77,1.338
Lavena,Seekings,Female,87,3/25/1995,25.43,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,50,1.381
Paten,Cayet,Male,56,2/19/1995,25.52,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,163,1.169
Rockwell,Matson,Male,94,1/1/1995,25.66,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6,10,1.641
Keenan,Moriarty,Male,67,12/23/1994,25.68,Actuary,Financial Services,Mass Customer,N,Yes,2,077 Hansons Point,4075,QLD,Australia,8,289,0.7
Jobina,Gobourn,Female,85,12/4/1994,25.73,VP Quality Control,n/a,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,43,1.4078125
Lyndell,Jereatt,Female,14,11/28/1994,25.75,Payment Adjustment Coordinator,n/a,High Net Worth,N,No,13,58770 Monterey Plaza,2122,NSW,Australia,12,151,0.45
Dwain,Hatch,Male,62,11/16/1994,25.78,Marketing Assistant,Health,Affluent Customer,N,No,15,5 Hovde Lane,3028,VIC,Australia,8,322,0.825
Gilbert,O'Fallone,Male,29,11/7/1994,25.81,Assistant Media Planner,Entertainment,High Net Worth,N,No,1,6 Havey Pass,2126,NSW,Australia,11,328,0.776
Karlik,Penchen,Male,60,10/31/1994,25.83,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,95,1.3
Arty,Fontelles,Male,50,10/21/1994,25.85,Help Desk Technician,IT,High Net Worth,N,No,4,7872 South Junction,3197,VIC,Australia,4,289,0.97
Berenice,Kaesmakers,Female,64,10/15/1994,25.87,Sales Representative,Retail,Mass Customer,N,No,11,563 Waywood Park,2145,NSW,Australia,9,327,0.797
Wilburt,Padden,Male,22,9/30/1994,25.91,Engineer I,Manufacturing,Mass Customer,N,No,3,22 Muir Avenue,2148,NSW,Australia,5,229,0.563
Bessie,Roscow,Female,78,8/4/1994,26.07,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,67,1.35
Briano,Janowski,Male,66,7/17/1994,26.12,Analyst Programmer,n/a,Mass Customer,N,No,7,3259 Eagan Parkway,2066,NSW,Australia,8,234,0.57375
Inglis,Pickaver,Male,33,6/25/1994,26.18,Product Engineer,Telecommunications,Affluent Customer,N,No,1,14067 Armistice Plaza,2770,NSW,Australia,8,152,0.44
Barth,Sapshed,Male,4,6/16/1994,26.2,Executive Secretary,Financial Services,Mass Customer,N,Yes,13,65 Milwaukee Lane,4520,QLD,Australia,10,332,0.808
Kiley,Grunder,Male,95,4/17/1994,26.37,Cost Accountant,Financial Services,Affluent Customer,N,Yes,1,17393 Colorado Hill,4006,QLD,Australia,8,332,0.786
Hunfredo,Hayball,Male,7,4/15/1994,26.37,,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,200,1.125
Jesse,Crosio,Male,75,4/15/1994,26.37,Data Coordiator,n/a,Mass Customer,N,Yes,13,9313 Mayer Street,3133,VIC,Australia,8,330,0.796875
Winn,Wells,Male,66,4/12/1994,26.38,Analyst Programmer,Manufacturing,Affluent Customer,N,No,9,544 Pawling Road,2230,NSW,Australia,10,271,0.62
Lizette,McKeaveney,Female,30,4/11/1994,26.38,Assistant Manager,Health,High Net Worth,N,Yes,13,6412 Butternut Road,2050,NSW,Australia,10,214,0.538
Lesley,Garey,Male,52,3/29/1994,26.42,Software Consultant,Telecommunications,Mass Customer,N,No,11,924 Lindbergh Court,2226,NSW,Australia,9,208,0.531
Ariel,McCloid,Male,4,3/13/1994,26.46,Human Resources Manager,n/a,High Net Worth,N,Yes,6,99 Quincy Parkway,3630,VIC,Australia,1,326,0.875
Gina,Mallon,Female,56,2/11/1994,26.54,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,99,1.288
Nolly,Ivanchikov,Male,13,2/10/1994,26.55,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,11,6792 Kropf Hill,2049,NSW,Australia,11,173,0.457
Chico,Dye,Male,46,2/4/1994,26.56,Speech Pathologist,Manufacturing,High Net Worth,N,No,13,168 Schlimgen Center,2526,NSW,Australia,9,335,0.813
Griswold,Kelsall,Male,55,12/19/1993,26.69,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,49,1.395
Claudell,Rounsefell,Male,67,11/27/1993,26.75,VP Sales,Financial Services,Affluent Customer,N,No,8,61416 Karstens Place,4217,QLD,Australia,5,311,0.9
Leonid,Dorricott,Male,44,11/18/1993,26.78,Environmental Tech,n/a,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,184,1.1475
Byrom,Ramas,Male,23,11/2/1993,26.82,Help Desk Technician,Manufacturing,High Net Worth,N,No,12,2 Jackson Place,2528,NSW,Australia,7,338,0.813
Son,Varney,Male,75,11/2/1993,26.82,Analog Circuit Design manager,Property,Mass Customer,N,Yes,10,189 Bayside Court,2480,NSW,Australia,7,299,0.669
Harwell,Kleinstein,Male,87,10/18/1993,26.86,Sales Representative,Retail,Affluent Customer,N,No,15,7 Huxley Trail,3818,VIC,Australia,5,311,0.914
Gaston,Dallaghan,Male,44,9/29/1993,26.91,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,18,1.516
Wheeler,Godsil,Male,51,9/20/1993,26.94,Geologist IV,Manufacturing,Affluent Customer,N,Yes,6,7 Spaight Drive,2147,NSW,Australia,9,337,0.744
Antonin,Britt,Male,64,8/28/1993,27,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,37,1.434375
Marcelia,Monkleigh,Female,61,8/22/1993,27.02,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,14,1.547
Diane,Furman,Female,67,8/11/1993,27.05,,Manufacturing,Affluent Customer,N,Yes,13,6660 Riverside Circle,3013,VIC,Australia,9,198,0.478125
Daisy,Pollen,Female,97,8/9/1993,27.05,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,VIC,Australia,9,259,1.03
Lynnett,Tipper,Female,22,8/3/1993,27.07,Social Worker,Health,High Net Worth,N,Yes,2,9 Ridgeview Avenue,3109,VIC,Australia,10,324,0.89
Elvin,Trayhorn,Male,46,6/2/1993,27.24,VP Accounting,Financial Services,High Net Worth,N,No,10,79 Sheridan Point,2231,NSW,Australia,10,293,0.627
Giffie,Offill,Male,51,3/2/1993,27.49,Structural Engineer,Telecommunications,Affluent Customer,N,No,5,89 Riverside Court,4740,QLD,Australia,3,303,0.946
Bogey,Attew,Male,88,11/18/1992,27.78,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9,231,1.063
Calhoun,Mussington,Male,98,10/13/1992,27.88,Dental Hygienist,Health,Mass Customer,N,No,12,176 Fallview Plaza,2019,NSW,Australia,9,293,0.621
Fayre,Brannigan,Female,32,10/13/1992,27.88,Geological Engineer,Manufacturing,Mass Customer,N,Yes,9,31351 Sunbrook Place,2234,NSW,Australia,10,290,0.613
Renie,Fiveash,Female,92,10/10/1992,27.88,Occupational Therapist,Health,High Net Worth,N,No,16,2 Anniversary Trail,4508,QLD,Australia,4,323,0.697
Sonny,McCart,Male,35,8/27/1992,28,Account Representative I,Manufacturing,High Net Worth,N,No,9,52752 Barby Hill,3020,VIC,Australia,9,274,1.01
Sim,Constantinou,Male,91,8/9/1992,28.05,Analog Circuit Design manager,Property,Mass Customer,N,No,5,41002 Loomis Park,2010,NSW,Australia,9,196,0.46
Bill,,Female,74,4/24/1963,,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2
Maury,Galego,Male,65,7/27/1992,28.09,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,177,1.158
Tanya,Kiefer,Female,54,7/5/1992,28.15,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,173,1.169
Debby,Balmadier,Female,53,6/24/1992,28.18,Administrative Assistant II,Financial Services,Affluent Customer,N,Yes,5,738 Spaight Drive,3216,VIC,Australia,8,328,0.691
Ludovico,Juster,Male,93,4/19/1992,28.36,Environmental Specialist,n/a,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,79,1.3125
Tyne,Anshell,Female,71,4/8/1992,28.39,Mechanical Systems Engineer,n/a,Mass Customer,N,Yes,3,93 Sutherland Terrace,2560,NSW,Australia,8,178,0.4165
Mandi,Adamsson,Female,40,4/7/1992,28.39,Programmer Analyst I,Manufacturing,Mass Customer,N,Yes,5,25 Westerfield Road,4165,QLD,Australia,5,315,0.664
Elbertina,Fendley,Female,32,3/27/1992,28.42,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,186,1.15
Edin,Patinkin,Female,35,3/26/1992,28.43,Account Executive,Health,Mass Customer,N,No,17,6 Milwaukee Hill,3015,VIC,Australia,4,203,0.457
Toma,Woolforde,Female,67,3/9/1992,28.47,Cost Accountant,Financial Services,Mass Customer,N,Yes,5,76 Melody Avenue,2092,NSW,Australia,12,281,0.578
Julietta,Setchfield,Female,73,1/31/1992,28.58,Operator,n/a,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,270,1.02
